,date,temperature,pressure,humidity,sunshine
132,2022-01-03 18:30:00,-7.5,763.8,83.0,7.1
133,2022-01-03 19:00:00,-7.6,763.8,83.0,7.1
134,2022-01-03 19:30:00,-7.7,763.8,83.0,7.1
135,2022-01-03 20:00:00,-7.8,763.9,83.0,7.1
136,2022-01-03 20:30:00,-7.9,763.9,83.0,7.1
137,2022-01-03 21:00:00,-8.2,764.0,83.0,7.1
138,2022-01-03 21:30:00,-8.3,764.0,83.0,7.1
139,2022-01-03 22:00:00,-8.4,764.0,83.0,7.1
140,2022-01-03 22:30:00,-8.6,764.1,84.0,7.1
141,2022-01-03 23:00:00,-8.6,764.1,84.0,7.1
142,2022-01-03 23:30:00,-8.6,764.1,84.0,7.1
143,2022-01-04 00:00:00,-8.8,764.1,84.0,7.1
144,2022-01-04 00:30:00,-8.8,764.1,84.0,7.12
145,2022-01-04 01:00:00,-8.8,764.1,84.0,7.12
146,2022-01-04 01:30:00,-8.9,764.2,84.0,7.12
147,2022-01-04 02:00:00,-9.1,764.2,84.0,7.12
148,2022-01-04 02:30:00,-9.0,764.2,84.0,7.12
149,2022-01-04 03:00:00,-9.2,764.3,84.0,7.12
150,2022-01-04 03:30:00,-9.2,764.3,84.0,7.12
151,2022-01-04 04:00:00,-9.1,764.2,84.0,7.12
152,2022-01-04 04:30:00,-9.2,764.3,84.0,7.12
153,2022-01-04 05:00:00,-9.0,764.2,84.0,7.12
154,2022-01-04 05:30:00,-9.1,764.2,84.0,7.12
155,2022-01-04 06:00:00,-9.0,764.2,84.0,7.12
156,2022-01-04 06:30:00,-9.0,764.2,84.0,7.12
157,2022-01-04 07:00:00,-8.9,764.2,84.0,7.12
158,2022-01-04 07:30:00,-8.7,764.1,84.0,7.12
159,2022-01-04 08:00:00,-8.5,764.1,84.0,7.12
160,2022-01-04 08:30:00,-8.6,764.1,84.0,7.12
161,2022-01-04 09:00:00,-8.4,764.0,83.0,7.12
162,2022-01-04 09:30:00,-8.1,763.9,83.0,7.12
163,2022-01-04 10:00:00,-8.1,763.9,83.0,7.12
164,2022-01-04 10:30:00,-7.9,763.9,83.0,7.12
165,2022-01-04 11:00:00,-7.8,763.9,83.0,7.12
166,2022-01-04 11:30:00,-7.7,763.8,83.0,7.12
167,2022-01-04 12:00:00,-7.6,763.8,83.0,7.12
168,2022-01-04 12:30:00,-7.5,763.8,83.0,7.12
169,2022-01-04 13:00:00,-7.4,763.8,83.0,7.12
170,2022-01-04 13:30:00,-7.4,763.8,83.0,7.12
171,2022-01-04 14:00:00,-7.4,763.8,83.0,7.12
172,2022-01-04 14:30:00,-7.2,763.7,83.0,7.12
173,2022-01-04 15:00:00,-7.2,763.7,83.0,7.12
174,2022-01-04 15:30:00,-7.1,763.7,82.0,7.12
175,2022-01-04 16:00:00,-7.2,763.7,83.0,7.12
176,2022-01-04 16:30:00,-7.2,763.7,83.0,7.12
177,2022-01-04 17:00:00,-7.3,763.7,83.0,7.12
178,2022-01-04 17:30:00,-7.2,763.7,83.0,7.12
179,2022-01-04 18:00:00,-7.4,763.8,83.0,7.12
180,2022-01-04 18:30:00,-7.4,763.8,83.0,7.12
181,2022-01-04 19:00:00,-7.5,763.8,83.0,7.12
182,2022-01-04 19:30:00,-7.6,763.8,83.0,7.12
183,2022-01-04 20:00:00,-7.9,763.9,83.0,7.12
184,2022-01-04 20:30:00,-7.8,763.9,83.0,7.12
185,2022-01-04 21:00:00,-8.0,763.9,83.0,7.12
186,2022-01-04 21:30:00,-8.2,764.0,83.0,7.12
187,2022-01-04 22:00:00,-8.4,764.0,83.0,7.12
188,2022-01-04 22:30:00,-8.4,764.0,83.0,7.12
189,2022-01-04 23:00:00,-8.6,764.1,84.0,7.12
190,2022-01-04 23:30:00,-8.4,764.0,83.0,7.12
191,2022-01-05 00:00:00,-8.4,764.0,83.0,7.12
192,2022-01-05 00:30:00,-8.2,764.0,83.0,7.14
193,2022-01-05 01:00:00,-8.3,764.0,83.0,7.14
194,2022-01-05 01:30:00,-8.3,764.0,83.0,7.14
195,2022-01-05 02:00:00,-8.2,764.0,83.0,7.14
196,2022-01-05 02:30:00,-8.2,764.0,83.0,7.14
197,2022-01-05 03:00:00,-8.3,764.0,83.0,7.14
198,2022-01-05 03:30:00,-8.4,764.0,83.0,7.14
199,2022-01-05 04:00:00,-8.3,764.0,83.0,7.14
200,2022-01-05 04:30:00,-8.3,764.0,83.0,7.14
201,2022-01-05 05:00:00,-8.3,764.0,83.0,7.14
202,2022-01-05 05:30:00,-8.2,764.0,83.0,7.14
203,2022-01-05 06:00:00,-8.1,763.9,83.0,7.14
204,2022-01-05 06:30:00,-8.1,763.9,83.0,7.14
205,2022-01-05 07:00:00,-8.0,763.9,83.0,7.14
206,2022-01-05 07:30:00,-7.8,763.9,83.0,7.14
207,2022-01-05 08:00:00,-7.7,763.8,83.0,7.14
208,2022-01-05 08:30:00,-7.5,763.8,83.0,7.14
209,2022-01-05 09:00:00,-7.5,763.8,83.0,7.14
210,2022-01-05 09:30:00,-7.5,763.8,83.0,7.14
211,2022-01-05 10:00:00,-7.2,763.7,83.0,7.14
212,2022-01-05 10:30:00,-7.2,763.7,83.0,7.14
213,2022-01-05 11:00:00,-7.0,763.6,82.0,7.14
214,2022-01-05 11:30:00,-6.9,763.6,82.0,7.14
215,2022-01-05 12:00:00,-6.8,763.6,82.0,7.14
216,2022-01-05 12:30:00,-6.6,763.5,82.0,7.14
217,2022-01-05 13:00:00,-6.5,763.5,82.0,7.14
218,2022-01-05 13:30:00,-6.5,763.5,82.0,7.14
219,2022-01-05 14:00:00,-6.4,763.5,82.0,7.14
220,2022-01-05 14:30:00,-6.4,763.5,82.0,7.14
221,2022-01-05 15:00:00,-6.3,763.4,82.0,7.14
222,2022-01-05 15:30:00,-6.4,763.5,82.0,7.14
223,2022-01-05 16:00:00,-6.4,763.5,82.0,7.14
224,2022-01-05 16:30:00,-6.4,763.5,82.0,7.14
225,2022-01-05 17:00:00,-6.5,763.5,82.0,7.14
226,2022-01-05 17:30:00,-6.4,763.5,82.0,7.14
227,2022-01-05 18:00:00,-6.5,763.5,82.0,7.14
228,2022-01-05 18:30:00,-6.6,763.5,82.0,7.14
229,2022-01-05 19:00:00,-6.7,763.6,82.0,7.14
230,2022-01-05 19:30:00,-6.8,763.6,82.0,7.14
231,2022-01-05 20:00:00,-7.0,763.6,82.0,7.14
232,2022-01-05 20:30:00,-7.0,763.6,82.0,7.14
233,2022-01-05 21:00:00,-7.1,763.7,82.0,7.14
234,2022-01-05 21:30:00,-7.4,763.8,83.0,7.14
235,2022-01-05 22:00:00,-7.5,763.8,83.0,7.14
236,2022-01-05 22:30:00,-7.5,763.8,83.0,7.14
237,2022-01-05 23:00:00,-7.7,763.8,83.0,7.14
238,2022-01-05 23:30:00,-7.8,763.9,83.0,7.14
239,2022-01-06 00:00:00,-8.2,764.0,83.0,7.14
240,2022-01-06 00:30:00,-8.5,764.1,84.0,7.16
241,2022-01-06 01:00:00,-8.6,764.1,84.0,7.16
242,2022-01-06 01:30:00,-8.7,764.1,84.0,7.16
243,2022-01-06 02:00:00,-9.0,764.2,84.0,7.16
244,2022-01-06 02:30:00,-9.1,764.2,84.0,7.16
245,2022-01-06 03:00:00,-9.2,764.3,84.0,7.16
246,2022-01-06 03:30:00,-9.2,764.3,84.0,7.16
247,2022-01-06 04:00:00,-9.2,764.3,84.0,7.16
248,2022-01-06 04:30:00,-9.2,764.3,84.0,7.16
249,2022-01-06 05:00:00,-9.3,764.3,84.0,7.16
250,2022-01-06 05:30:00,-9.0,764.2,84.0,7.16
251,2022-01-06 06:00:00,-9.1,764.2,84.0,7.16
252,2022-01-06 06:30:00,-9.0,764.2,84.0,7.16
253,2022-01-06 07:00:00,-8.9,764.2,84.0,7.16
254,2022-01-06 07:30:00,-8.8,764.1,84.0,7.16
255,2022-01-06 08:00:00,-8.6,764.1,84.0,7.16
256,2022-01-06 08:30:00,-8.5,764.1,84.0,7.16
257,2022-01-06 09:00:00,-8.4,764.0,83.0,7.16
258,2022-01-06 09:30:00,-8.2,764.0,83.0,7.16
259,2022-01-06 10:00:00,-8.1,763.9,83.0,7.16
260,2022-01-06 10:30:00,-8.1,763.9,83.0,7.16
261,2022-01-06 11:00:00,-7.9,763.9,83.0,7.16
262,2022-01-06 11:30:00,-7.8,763.9,83.0,7.16
263,2022-01-06 12:00:00,-7.7,763.8,83.0,7.16
264,2022-01-06 12:30:00,-7.5,763.8,83.0,7.16
265,2022-01-06 13:00:00,-7.5,763.8,83.0,7.16
266,2022-01-06 13:30:00,-7.3,763.7,83.0,7.16
267,2022-01-06 14:00:00,-7.4,763.8,83.0,7.16
268,2022-01-06 14:30:00,-7.3,763.7,83.0,7.16
269,2022-01-06 15:00:00,-7.3,763.7,83.0,7.16
270,2022-01-06 15:30:00,-7.3,763.7,83.0,7.16
271,2022-01-06 16:00:00,-7.3,763.7,83.0,7.16
272,2022-01-06 16:30:00,-7.3,763.7,83.0,7.16
273,2022-01-06 17:00:00,-7.3,763.7,83.0,7.16
274,2022-01-06 17:30:00,-7.4,763.8,83.0,7.16
275,2022-01-06 18:00:00,-7.4,763.8,83.0,7.16
276,2022-01-06 18:30:00,-7.5,763.8,83.0,7.16
277,2022-01-06 19:00:00,-7.6,763.8,83.0,7.16
278,2022-01-06 19:30:00,-7.8,763.9,83.0,7.16
279,2022-01-06 20:00:00,-7.8,763.9,83.0,7.16
280,2022-01-06 20:30:00,-8.1,763.9,83.0,7.16
281,2022-01-06 21:00:00,-8.2,764.0,83.0,7.16
